公司简称,A股代码,所属行业,
平安银行,000001,J金融业,
万科Ａ,000002,K房地产,
国农科技,000004,C制造业,
世纪星源,000005,N公共环保,
深振业Ａ,000006,K房地产,
全新好,000007,K房地产,
神州高铁,000008,C制造业,
中国宝安,000009,S综合,
美丽生态,000010,E建筑业,
深物业A,000011,K房地产,
南玻Ａ,000012,C制造业,
沙河股份,000014,K房地产,
深康佳Ａ,000016,C制造业,
深中华A,000017,C制造业,
神州长城,000018,E建筑业,
深深宝Ａ,000019,F批发零售,
深华发Ａ,000020,C制造业,
深科技,000021,C制造业,
深天地Ａ,000023,C制造业,
特力Ａ,000025,F批发零售,
飞亚达Ａ,000026,F批发零售,
深圳能源,000027,D水电煤气,
国药一致,000028,F批发零售,
深深房Ａ,000029,K房地产,
富奥股份,000030,C制造业,
中粮地产,000031,K房地产,
深桑达Ａ,000032,F批发零售,
神州数码,000034,F批发零售,
中国天楹,000035,N公共环保,
华联控股,000036,K房地产,
深南电A,000037,D水电煤气,
深大通,000038,L商务服务,
中集集团,000039,C制造业,
东旭蓝天,000040,D水电煤气,
中洲控股,000042,K房地产,
中航善达,000043,K房地产,
深纺织Ａ,000045,C制造业,
泛海控股,000046,K房地产,
*ST康达,000048,C制造业,
德赛电池,000049,C制造业,
深天马Ａ,000050,C制造业,
方大集团,000055,C制造业,
皇庭国际,000056,K房地产,
深赛格,000058,L商务服务,
华锦股份,000059,C制造业,
中金岭南,000060,C制造业,
农产品,000061,L商务服务,
深圳华强,000062,F批发零售,
中兴通讯,000063,C制造业,
北方国际,000065,E建筑业,
中国长城,000066,C制造业,
华控赛格,000068,C制造业,
华侨城Ａ,000069,K房地产,
特发信息,000070,C制造业,
海王生物,000078,F批发零售,
盐田港,000088,G运输仓储,
深圳机场,000089,G运输仓储,
天健集团,000090,E建筑业,
广聚能源,000096,F批发零售,
中信海直,000099,G运输仓储,
TCL集团,000100,C制造业,
宜华健康,000150,Q卫生,
中成股份,000151,F批发零售,
丰原药业,000153,C制造业,
川能动力,000155,C制造业,
华数传媒,000156,R文化传播,
中联重科,000157,C制造业,
常山北明,000158,C制造业,
国际实业,000159,F批发零售,
申万宏源,000166,J金融业,
东方盛虹,000301,C制造业,
美的集团,000333,C制造业,
潍柴动力,000338,C制造业,
许继电气,000400,C制造业,
冀东水泥,000401,C制造业,
金融街,000402,K房地产,
振兴生化,000403,C制造业,
长虹华意,000404,C制造业,
胜利股份,000407,D水电煤气,
藏格控股,000408,C制造业,
*ST地矿,000409,S综合,
沈阳机床,000410,C制造业,
英特集团,000411,F批发零售,
东旭光电,000413,C制造业,
渤海租赁,000415,L商务服务,
民生控股,000416,J金融业,
合肥百货,000417,F批发零售,
小天鹅Ａ,000418,C制造业,
